time_stamp,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,quat_x,quat_y,quat_z,quat_w
56471,-9.47,-246.29,-56.75,0.22,-7.79,16.35
56475,-14.18,-240.11,-59.33,-1.75,-9.19,15.75
56479,-17.03,-234.27,-62.06,-2.51,-9.42,15.32
56483,-20.96,-225.50,-66.30,-3.36,-9.48,14.78
56487,-24.80,-216.67,-70.66,-4.02,-9.39,14.33
56492,-52.07,-160.40,-98.73,-7.90,-5.58,12.07
56497,-54.94,-157.04,-100.98,-8.19,-4.99,11.89
56502,-56.79,-154.56,-102.32,-8.41,-4.51,11.79
56507,-57.97,-151.18,-103.05,-8.67,-3.98,11.75
56512,-58.18,-149.83,-103.14,-8.77,-3.80,11.75
56517,-58.18,-140.49,-102.71,-9.37,-2.72,11.81
56522,-57.42,-134.23,-101.89,-9.76,-1.95,11.90
56527,-56.37,-127.99,-100.86,-10.14,-1.28,12.02
56532,-54.12,-118.95,-98.86,-10.68,-0.69,12.23
56537,-42.86,-102.85,-89.77,-11.61,0.03,13.01
56542,-40.67,-100.33,-87.93,-11.76,0.12,13.14
56547,-35.84,-94.73,-83.78,-12.11,0.30,13.44
56552,-29.70,-88.66,-78.04,-12.58,0.40,13.79
56557,3.42,-51.38,-17.59,-16.49,-0.25,11.28
56563,3.49,-43.86,-11.74,-16.83,-0.63,10.08
56567,3.18,-37.05,-8.04,-16.88,-0.91,9.41
56572,2.61,-23.46,-6.64,-17.17,-1.43,8.09
56577,2.39,9.51,-6.63,-17.42,-2.27,6.98
56582,2.44,21.95,-7.33,-17.61,-2.49,6.79
56587,2.51,24.52,-7.64,-17.64,-2.53,6.74
56593,2.66,27.84,-8.19,-17.68,-2.59,6.68
56597,3.92,41.03,-11.69,-17.59,-2.81,6.62
56602,5.53,63.72,-15.34,-17.10,-3.19,6.95
56607,9.85,110.28,-24.13,-14.63,-3.90,7.80
56612,10.54,116.34,-25.86,-14.14,-3.98,7.98
56617,11.17,121.02,-27.35,-13.74,-4.05,8.13
56622,11.50,123.14,-28.09,-13.53,-4.08,8.20
56627,12.69,128.17,-30.44,-12.87,-4.15,8.46
56632,13.75,126.98,-31.58,-12.37,-4.13,8.67
56637,14.00,124.22,-31.26,-12.22,-4.09,8.74
56642,14.06,121.58,-30.56,-12.09,-4.06,8.80
56647,14.05,120.72,-30.24,-12.05,-4.05,8.82
56652,13.88,118.28,-28.75,-11.83,-4.02,8.92
56657,12.55,122.19,-23.28,-10.71,-4.08,9.38
56662,12.08,126.16,-21.81,-10.27,-4.14,9.54
56667,8.06,150.01,3.97,-0.75,-4.42,14.27
56672,6.97,148.76,8.62,0.44,-4.40,14.94
56677,4.93,143.05,14.58,1.87,-4.32,15.77
56682,-0.39,97.45,20.60,4.14,-3.76,15.35
56687,-0.61,94.97,20.51,4.18,-3.71,15.19
56692,-0.99,90.84,20.30,4.24,-3.63,14.90
56697,-1.23,88.13,20.09,4.29,-3.58,14.69
56702,-1.41,86.14,19.48,4.36,-3.52,14.43
56707,-1.38,86.43,19.32,4.37,-3.53,14.41
56712,-1.27,87.56,18.98,4.37,-3.55,14.40
56717,-1.10,89.44,18.51,4.34,-3.58,14.41
56722,-0.99,90.70,18.01,4.29,-3.61,14.37
56728,-1.02,90.46,17.57,4.22,-3.62,14.27
56732,-1.52,85.18,16.74,4.06,-3.57,13.80
56737,-2.24,77.59,16.20,3.93,-3.47,13.26
56742,-6.87,18.63,6.30,3.23,-1.96,9.31
56747,-7.03,8.04,2.80,3.07,-1.68,9.05
56752,-6.70,6.55,1.52,3.05,-1.65,9.08
56757,-5.66,4.92,-0.03,3.06,-1.63,9.18
56762,-2.48,5.59,-1.35,3.28,-1.70,9.39
56767,-1.69,5.96,-1.41,3.35,-1.70,9.42
56772,-1.47,6.09,-1.42,3.37,-1.70,9.43
56778,-1.01,6.43,-1.44,3.42,-1.68,9.45
56782,-0.77,6.78,-1.41,3.45,-1.65,9.45
56787,-0.63,7.25,-1.36,3.47,-1.56,9.46
56792,-0.61,7.72,-1.31,3.48,-1.46,9.46
56797,-0.67,7.94,-1.27,3.48,-1.42,9.46
56802,-1.09,8.31,-1.19,3.43,-1.33,9.45
56807,-1.94,8.91,-1.04,3.32,-1.23,9.40
56812,-2.47,9.24,-0.91,3.24,-1.19,9.33
56817,-2.81,9.48,-0.81,3.18,-1.17,9.27
56822,-2.91,9.54,-0.78,3.17,-1.17,9.25
56827,-3.11,9.61,-0.72,3.13,-1.16,9.20
56832,-2.98,9.77,-0.60,3.06,-1.20,9.12
56837,-2.80,9.92,-0.54,3.03,-1.22,9.11
56842,-2.40,10.19,-0.43,2.98,-1.25,9.10
56847,-2.26,10.28,-0.39,2.97,-1.26,9.10
56852,-1.56,10.77,-0.23,2.90,-1.32,9.10
56857,-1.27,11.02,-0.18,2.88,-1.34,9.12
56862,-1.13,11.16,-0.15,2.88,-1.35,9.13
56867,-0.71,11.54,-0.09,2.86,-1.38,9.16
56872,-0.04,12.10,0.01,2.81,-1.43,9.20
56878,6.10,15.17,0.60,2.57,-1.66,9.52
56882,6.59,15.31,0.67,2.56,-1.67,9.55
56887,6.74,15.35,0.69,2.55,-1.67,9.56
56892,8.30,15.59,0.95,2.52,-1.65,9.70
56897,8.64,15.60,1.03,2.51,-1.64,9.73
56902,8.92,15.59,1.12,2.50,-1.62,9.76
56907,9.67,15.43,1.72,2.48,-1.52,9.89
56912,8.54,14.83,2.44,2.50,-1.39,9.90
56917,7.50,14.43,2.78,2.51,-1.36,9.88
56922,6.82,14.19,2.97,2.51,-1.35,9.87
56927,5.45,13.71,3.24,2.52,-1.36,9.85
56932,4.28,13.28,3.44,2.53,-1.37,9.84
56937,3.31,12.89,3.61,2.53,-1.39,9.82
56943,1.90,12.23,3.86,2.53,-1.42,9.78
56947,0.03,11.21,4.29,2.50,-1.46,9.64
56952,-0.26,11.05,4.37,2.49,-1.46,9.61
56957,-1.02,10.67,4.48,2.45,-1.47,9.55
56962,-1.84,10.34,4.53,2.41,-1.46,9.51
56967,-2.67,10.09,4.56,2.39,-1.45,9.49
56972,-2.77,10.06,4.56,2.38,-1.45,9.48
56978,-4.50,9.43,4.63,2.44,-1.38,9.41
56982,-4.70,9.21,4.57,2.52,-1.32,9.38
56987,-4.81,9.08,4.51,2.55,-1.29,9.37
56993,-5.01,8.77,4.27,2.62,-1.22,9.35
56997,-5.24,8.40,3.92,2.65,-1.17,9.33
57002,-5.36,8.23,3.72,2.64,-1.16,9.33
57007,-5.49,8.02,3.47,2.62,-1.15,9.34
57012,-5.55,7.89,3.33,2.62,-1.15,9.34
57017,-5.68,7.57,2.99,2.59,-1.15,9.34
57022,-5.77,7.28,2.69,2.57,-1.15,9.35
57027,-5.83,6.75,2.14,2.56,-1.17,9.36
57032,-5.72,5.91,1.33,2.56,-1.25,9.40
57037,-5.71,5.73,1.17,2.56,-1.30,9.42
57043,-5.69,5.44,0.92,2.53,-1.44,9.48
57047,-5.43,4.93,0.55,2.42,-1.82,9.72
57052,-5.41,4.90,0.54,2.41,-1.82,9.72
57057,-5.39,4.89,0.53,2.40,-1.83,9.73
57062,-5.30,4.79,0.47,2.31,-1.84,9.74
57067,-5.19,4.79,0.40,2.17,-1.84,9.75
57072,-5.12,4.90,0.35,2.02,-1.84,9.76
57077,-5.10,5.07,0.30,1.97,-1.83,9.75
57082,-5.09,5.23,0.27,1.94,-1.81,9.75
57087,-5.09,5.35,0.23,1.94,-1.80,9.74
57093,-5.10,5.43,0.19,1.95,-1.78,9.73
57097,-5.11,5.52,0.14,1.97,-1.76,9.71
57102,-5.11,5.54,0.12,1.98,-1.75,9.70
57107,-5.12,5.57,0.10,1.99,-1.74,9.69
57112,-5.17,5.55,-0.02,2.09,-1.65,9.61
57117,-5.20,5.44,-0.24,2.14,-1.59,9.47
57122,-5.21,5.43,-0.30,2.15,-1.58,9.45
57127,-5.21,5.42,-0.31,2.15,-1.59,9.44
57132,-5.22,5.44,-0.37,2.14,-1.59,9.42
57137,-5.22,5.45,-0.40,2.14,-1.58,9.42
57143,-5.38,5.54,-0.87,2.11,-1.54,9.38
57147,-5.52,5.75,-1.06,2.09,-1.53,9.39
57152,-5.62,5.97,-1.13,2.07,-1.54,9.41
57157,-6.16,7.23,-1.23,2.01,-1.55,9.56
57162,-6.36,7.75,-1.23,2.01,-1.56,9.63
57167,-6.40,7.86,-1.23,2.02,-1.56,9.65
57172,-6.73,10.15,-0.79,2.10,-1.53,9.78
57177,-6.73,10.51,-0.68,2.09,-1.51,9.77
57182,-6.71,10.82,-0.58,2.07,-1.49,9.73
57187,-6.67,11.44,-0.42,2.03,-1.47,9.68
57193,-6.66,11.61,-0.38,2.02,-1.46,9.65
57197,-6.65,11.76,-0.34,2.01,-1.45,9.63
57202,-6.64,11.95,-0.30,2.00,-1.44,9.60
57207,-6.59,12.52,-0.16,1.96,-1.41,9.50
57212,-6.56,12.93,-0.06,1.95,-1.39,9.43
57217,-6.14,17.92,1.13,1.85,-1.34,8.77
57222,-6.12,18.37,1.28,1.85,-1.35,8.72
57227,-6.11,18.55,1.34,1.85,-1.36,8.71
57232,-6.09,19.02,1.51,1.85,-1.38,8.66
57237,-6.04,20.06,1.89,1.84,-1.43,8.59
57242,-6.00,21.15,2.29,1.84,-1.50,8.54
57247,-5.86,23.50,3.08,1.85,-1.64,8.50
57252,-5.02,33.55,7.09,1.87,-2.18,8.57
57257,-4.19,40.55,9.81,1.93,-2.50,8.77
57262,-3.52,45.10,11.54,2.00,-2.66,8.96
57267,-3.05,48.33,12.75,2.05,-2.77,9.10
57272,-0.70,63.00,17.97,2.56,-3.02,9.82
57277,0.15,71.31,20.47,2.96,-2.81,9.97
57282,0.45,75.98,21.64,3.07,-2.58,9.81
